number,grayscale
1,0.487348825
2,0.488270383
3,0.489137709
4,0.489954619
5,0.490724931
6,0.491452461
7,0.492141026
8,0.492794442
9,0.493416525
10,0.494011093
11,0.494581962
12,0.495132949
13,0.49566787
14,0.496190542
15,0.496704782
16,0.497214405
17,0.49772323
18,0.498235072
19,0.498753748
20,0.499283075
21,0.499826869
22,0.500388948
23,0.500973126
24,0.501582592
25,0.50221701
26,0.502874817
27,0.503554451
28,0.50425435
29,0.50497295
30,0.50570869
31,0.506460007
32,0.507225338
33,0.50800312
34,0.508791792
35,0.509589454
36,0.510391979
37,0.511194326
38,0.511991456
39,0.512778326
40,0.513549894
41,0.514301121
42,0.515026963
43,0.515722379
44,0.516382329
45,0.51700177
46,0.517576365
47,0.518107375
48,0.518598727
49,0.519054364
50,0.519478232
51,0.519874275
52,0.520246437
53,0.520598663
54,0.520934896
55,0.521259081
56,0.521575162
57,0.521887224
58,0.522200679
59,0.522521682
60,0.522856395
61,0.523210978
62,0.523591594
63,0.524004403
64,0.524455568
65,0.524951249
66,0.525497608
67,0.526100808
68,0.526766128
69,0.527488624
70,0.52825675
71,0.529058851
72,0.529883272
73,0.530718359
74,0.531552457
75,0.53237391
76,0.533171063
77,0.533932263
78,0.534645853
79,0.535300854
80,0.535895939
81,0.536437004
82,0.536930114
83,0.537381337
84,0.537796741
85,0.538182393
86,0.538544361
87,0.538888711
88,0.539221511
89,0.539548829
90,0.539876486
91,0.540205912
92,0.540534735
93,0.540860459
94,0.541180585
95,0.541492618
96,0.54179406
97,0.542082414
98,0.542355184
99,0.542609871
100,0.542843981
101,0.543055389
102,0.543250601
103,0.543444744
104,0.543653323
105,0.543891842
106,0.544175804
107,0.544520714
108,0.544942075
109,0.545455392
110,0.546076168
111,0.546819907
112,0.547701529
113,0.548718255
114,0.549846841
115,0.551062904
116,0.552342059
117,0.553659925
118,0.554992116
119,0.556314251
120,0.557601945
121,0.558830815
122,0.559976478
123,0.561015046
124,0.561943232
125,0.562785307
126,0.563567465
127,0.5643159
128,0.565056805
129,0.565816374
130,0.566620803
131,0.567496283
132,0.56846901
133,0.569565178
134,0.570810838
135,0.572223574
136,0.57380784
137,0.575566959
138,0.577504256
139,0.579623056
140,0.581926683
141,0.58441846
142,0.587101713
143,0.589979766
144,0.593055943
145,0.596333582
146,0.599817342
147,0.603514258
148,0.607431611
149,0.611576684
150,0.615956761
151,0.620579124
152,0.625451055
153,0.630579838
154,0.635972754
155,0.641637088
156,0.647580171
157,0.653817468
158,0.660381494
159,0.667306912
160,0.674628384
161,0.682380572
162,0.69059814
163,0.699315749
164,0.708568063
165,0.718389743
166,0.728815452
167,0.739879874
168,0.751624597
169,0.76410814
170,0.777391571
171,0.791535955
172,0.806602359
173,0.822651848
174,0.839745489
175,0.857944348
176,0.877309491
177,0.897901985
178,0.919782907
179,0.943026016
180,0.967741537
181,0.994046213
182,1.022056787
183,1.051890003
184,1.083662603
185,1.117491331
186,1.15349293
187,1.191784142
188,1.232481712
189,1.275702382
190,1.321562895
191,1.370179994
192,1.421670423
193,1.476150925
194,1.533738242
195,1.594549118
196,1.658700296
197,1.72630852
198,1.797490531
199,1.872363074
200,1.951042891
